จังหวัด,เขตเลือกตั้ง,สถานที่เลือกตั้งกลาง,รวมจำนวน,จำนวนชุด,อาคาร,จำนวนเต็นท์,การเดินทาง.ที่จอดรถ,เดินทาง.รถไฟฟ้าใต้ดิน,การเดินทาง.รถโดยสารประจำทาง,การเดินทาง.เรือโดยสาร,การเดินทาง.note,การเดินทาง.images,แผนผังการเลือกตั้ง.images,Unnamed: 14,Latitude,Longtitude
กรุงเทพมหานคร,1,บริเวณลานจอดรถสำนักงานเขตพระนคร แขวงวัดสามพระยา,3992,,,,,,,,,,,,,
กรุงเทพมหานคร,1,บริเวณอาคารไทยรวมทุน ถนนกรุงเกษม แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย,2588,,,,,,,,,,,,,
กรุงเทพมหานคร,1,บริเวณสำนักงานเขตสัมพันธวงศ์ แขวงตลาดน้อย,1528,,,,,,,,,,,,,
กรุงเทพมหานคร,1,บริเวณภายในวชิราวุธวิทยาลัย แขวงดุสิต,7366,,,,,,,,,,,,,
กรุงเทพมหานคร,1,บริเวณสโมสรสมาคมใหหนำแห่งประเทศไทย แขวงสี่พระยา,4713,,,,,,,,,,,,,
กรุงเทพมหานคร,2,บริเวณสวนหย่อมและลานกีฬาใต้ทางด่วน ซอยอยู่ดี แขวงทุ่งวัดดอน,6711,,,,,,,,,,,,,
กรุงเทพมหานคร,2,บริเวณชั้น 1 อาคารนิมิบุตร แขวงวังใหม่,19035,,,,,,,,,,,,,
กรุงเทพมหานคร,2,บริเวณสำนักงานเขตราชเทวี แขวงทุ่งพญาไท,16634,,,,,,,,,,,,,
กรุงเทพมหานคร,3,เต็นท์ลานจอดรถโลตัสพระราม 3 (ฝั่งถนนนราธิวาสราชนครินทร์) แขวงช่องนนทรี,11892,,,,,,,,,,,,,
กรุงเทพมหานคร,3,บริเวณสำนักงานเขตบางคอแหลม แขวงบางคอแหลม,5043,,,,,,,,,,,,,
กรุงเทพมหานคร,4,บริเวณสำนักงานเขตคลองเตย แขวงคลองเตย,8345,,,,,,,,,,,,,
กรุงเทพมหานคร,4,โรงแรมแอมบาสซาเดอร์ กรุงเทพฯ แขวงคลองเตยเหนือ,9034,,,,,,,,,,,,,
กรุงเทพมหานคร,5,ลานหน้าอาคารอเนกประสงค์ รฟม. ถนนพระราม9 เขตห้วยขวาง,24717,,,,,,,,,,,,,
กรุงเทพมหานคร,6,อาคารลานอเนกประสงค์ กรมประชาสัมพันธ์ แขวงพญาไท,13347,,,,,,,,,,,,,
กรุงเทพมหานคร,6,อาคารกีฬาเวสน์ 1 และ อาคารกีฬาเวสน์ 2 ศูนย์เยาวชนกรุงเทพมหานคร (ไทย-ญี่ปุ่น) ดินแดง แขวงดินแดง,21003,,,,,,,,,,,,,
กรุงเทพมหานคร,7,บริเวณสำนักงานเขตบางซื่อ แขวงบางซื่อ,19614,,,,,,,,,,,,,
กรุงเทพมหานคร,8,เต็นท์บริเวณถนนทางเข้าศูนย์ราชการเฉลิมพระเกียรติฯ (ซอยแจ้งวัฒนะ 7) แขวงทุ่งสองห้อง เขตหลักสี่,18180,,,,,,,,,,,,,
กรุงเทพมหานคร,9,บริเวณมหาวิทยาลัยราชภัฏจันทรเกษม แขวงจันทรเกษม,39687,,,,,,,,,,,,,
กรุงเทพมหานคร,10,บริเวณลานจอดรถ สำนักงานเขตดอนเมือง แขวงดอนเมือง,11890,,,,,,,,,,,,,
กรุงเทพมหานคร,11,บริเวณลานจอดรถวัดหนองใหญ่ แขวงสายไหม,8590,,,,,,,,,,,,,
กรุงเทพมหานคร,12,เต็นท์บริเวณลานจอดรถวัดศิริพงษ์ แขวงท่าแร้ง,13035,,,,,,,,,,,,,
กรุงเทพมหานคร,13,เต็นท์บริเวณโรงเรียนสตรีวิทยา 2 แขวงลาดพร้าว,10419,,,,,,,,,,,,,
กรุงเทพมหานคร,14,โครงการตะวันนา 2 (อาคาร 2) แขวงคลองจั่น,42202,,,,,,,,,,,,,
กรุงเทพมหานคร,14,บริเวณชั้น 4 ศูนย์การค้าอิมพีเรียลเวิลด์ ลาดพร้าว แขวงคลองเจ้าคุณสิงห์,17215,,,,,,,,,,,,,
กรุงเทพมหานคร,15,บริเวณสำนักงานเขตคันนายาว แขวงคันนายาว,6437,,,,,,,,,,,,,
กรุงเทพมหานคร,15,บริเวณสำนักงานเขตบึงกุ่ม แขวงคลองกุ่ม,6177,,,,,,,,,,,,,
กรุงเทพมหานคร,16,บริเวณลานจอดรถสำนักงานเขตคลองสามวา แขวงบางชัน,8547,,,,,,,,,,,,,
กรุงเทพมหานคร,17,บริเวณโรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ) แขวงกระทุ่มราย,5520,,,,,,,,,,,,,
กรุงเทพมหานคร,18,บริเวณวัดใหม่ลำนกแขวก แขวงแสนแสบ,5028,,,,,,,,,,,,,
กรุงเทพมหานคร,19,บริเวณลานจอดรถ สำนักงานเขตสะพานสูง และศูนย์นันทนาการสะพานสูง แขวงสะพานสูง,5877,,,,,,,,,,,,,
กรุงเทพมหานคร,20,บริเวณลานจอดรถสำนักงานเขตลาดกระบัง (ชั่วคราว) ระหว่างซอยลาดกระบัง 9/1 และซอยลาดกระบัง 9/2 แขวงลาดกระบัง,26849,,,,,,,,,,,,,
กรุงเทพมหานคร,21,มหาวิทยาลัยรามคาแหง 2 แขวงดอกไม้,13027,,,,,,,,,,,,,
กรุงเทพมหานคร,22,บริเวณลานอเนกประสงค์โรงเรียนเตรียมอุดมศึกษาพัฒนาการ  ซอยพัฒนาการ 58 แขวงพัฒนาการ เขตสวนหลวง,15141,,,,,,,,,,,,,
กรุงเทพมหานคร,23,โรงเรียนพระโขนงพิทยาลัย แขวงพระโขนงใต้ เขตพระโขนงใต้,12284,,,,,,,,,,,,,
กรุงเทพมหานคร,23,บริเวณถนนด้านหน้าสำนักงานเขตบางนา แขวงบางนาเหนือ เขตบางนา,18105,,,,,,,,,,,,,
กรุงเทพมหานคร,24,บริเวณสวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสินมหาราช แขวงคลองต้นไทร เขตคลองสาน,8223,,,,,,,,,,,,,
กรุงเทพมหานคร,25,ศูนย์กีฬาเฉลิมพระเกียรติ (บางมด) แขวงบางมด เขตทุ่งครุ,7770,,,,,,,,,,,,,
กรุงเทพมหานคร,25,สำนักงานเขตราษฎร์บูรณะ แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ,4865,,,,,,,,,,,,,
กรุงเทพมหานคร,26,บริเวณสำนักงานเขตจอมทอง แขวงบางมด เขตจอมทอง,5026,,,,,,,,,,,,,
กรุงเทพมหานคร,27,ศูนย์นันทนาการบางขุนเทียน แขวงแสมดำ เขตบางขุนเทียน,12158,,,,,,,,,,,,,
กรุงเทพมหานคร,28,บริเวณวิทยาลัยเทคนิคราชสิทธาราม แขวงบางบอนเหนือ เขตบางบอน,4787,,,,,,,,,,,,,
กรุงเทพมหานคร,29,บริเวณสำนักงานเขตหนองแขม แขวงหนองค้างพลู เขตหนองแขม,6918,,,,,,,,,,,,,
กรุงเทพมหานคร,30,บริเวณลานจอดรถด้านหลังอาคารสำนักงานเขตภาษีเจริญ แขวงบางหว้า เขตภาษีเจริญ,9127,,,,,,,,,,,,,
กรุงเทพมหานคร,30,บริเวณด้านหน้าและด้านข้างสำนักงานเขตบางแค แขวงบางแค เขตบางแค,8650,,,,,,,,,,,,,
กรุงเทพมหานคร,31,บริเวณสำนักงานเขตทวีวัฒนา แขวงทวีวัฒนา เขตทวีวัฒนา,6714,,,,,,,,,,,,,
กรุงเทพมหานคร,31,บริเวณสำนักงานเขตตลิ่งชัน แขวงคลองชักพระ เขตตลิ่งชัน,4739,,,,,,,,,,,,,
กรุงเทพมหานคร,32,บริเวณวิทยาลัยเทคโนโลยีสยาม แขวงวัดท่าพระ เขตบางกอกใหญ่,6084,,,,,,,,,,,,,
กรุงเทพมหานคร,32,วัดเวฬุราชิน (ศาลาโอฬารริกสุภัค) แขวงบางยี่เรือ เขตธนบุรี,8337,,,,,,,,,,,,,
กรุงเทพมหานคร,33,ลานอเนกประสงค์สำนักงานเขตบางพลัด แขวงบางอ้อ,14758,,,,,,,,,,,,,
กรุงเทพมหานคร,33,สวนเฉลิมพระเกียริ 80 พรรษา พระบามสมเด็จพระเจ้าอยู่หัว แขวงบางขุนนนท์ เขตบางกอกน้อย,12404,,,,,,,,,,,,,
