จังหวัด,เขตเลือกตั้ง,เขต,สถานที่เลือกตั้งกลาง,รวมจำนวน,จำนวนชุด,อาคาร,จำนวนเต็นท์,การเดินทาง.ที่จอดรถ,เดินทาง.รถไฟฟ้าใต้ดิน,การเดินทาง.รถโดยสารประจำทาง,การเดินทาง.เรือโดยสาร,การเดินทาง.note,การเดินทาง.images,แผนผังการเลือกตั้ง.images,แผนผังการเลือกตั้ง.clips
กรุงเทพมหานคร,1,สัมพันธวงศ์,บริเวณสำนักงานเขตสัมพันธวงศ์ แขวงตลาดน้อย,2305,5,0,10,,,,,,กรุงเทพ_สัมพันธวงศ์_1.jpg,,
กรุงเทพมหานคร,1,ป้อมปราบศัตรูพ่าย,บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย แขวงวัดโสมนัส,3997,8,0,16,,,,,,กรุงเทพ_ป้อมปราบศัตรูพ่าย_1.jpg,,
กรุงเทพมหานคร,1,พระนคร,บริเวณลานจอดรถสำนักงานเขตพระนคร แขวงวัดสามพระยา,5705,11,0,22,,,,,,กรุงเทพ_พระนคร_1.jpg,,
กรุงเทพมหานคร,1,บางรัก,บริเวณสโมสรสมาคมใหหนำแห่งประเทศไทย แขวงสี่พระยา,6889,14,0,28,,,,,,กรุงเทพ_บางรัก_1.jpg,,
กรุงเทพมหานคร,1,ดุสิต,บริเวณภายในวชิราวุธวิทยาลัย แขวงดุสิต,11785,24,0,48,,,,,,กรุงเทพ_ดุสิต_1.jpg,,
กรุงเทพมหานคร,2,สาทร,บริเวณสวนหย่อมและลานกีฬาใต้ทางด่วน ซอยอยู่ดี แขวงทุ่งวัดดอน,10117,20,0,40,,,,,,,กรุงเทพ_สาทร_1.jpg,
กรุงเทพมหานคร,2,ราชเทวี,บริเวณสำนักงานเขตราชเทวี แขวงทุ่งพญาไท,22403,45,0,90,,,,,,กรุงเทพ_ราชเทวี_1.jpg,,
กรุงเทพมหานคร,2,ปทุมวัน,บริเวณชั้น 1 อาคารนิมิบุตร แขวงวังใหม่,22909,46,0,92,,,,,,กรุงเทพ_ปทุมวัน_1.jpg,,
กรุงเทพมหานคร,3,บางคอแหลม,บริเวณสำนักงานเขตบางคอแหลม แขวงบางคอแหลม,7748,15,0,30,,,,,,กรุงเทพ_บางคอแหลม_1.jpg,,
กรุงเทพมหานคร,3,ยานนาวา,เต็นท์ลานจอดรถโลตัสพระราม 3 (ฝั่งถนนนราธิวาสราชนครินทร์) แขวงช่องนนทรี,17604,35,0,70,,,,,,กรุงเทพ_ยานนาวา_1.jpg,,
กรุงเทพมหานคร,4,คลองเตย,บริเวณสำนักงานเขตคลองเตย แขวงคลองเตย,12380,25,0,50,,,,,,กรุงเทพ_คลองเตย_1.jpg,กรุงเทพ_คลองเตย_1.jpg,
กรุงเทพมหานคร,4,วัฒนา,โรงแรมแอมบาสซาเดอร์ กรุงเทพฯ แขวงคลองเตยเหนือ,13188,26,0,32,,,,,,กรุงเทพ_วัฒนา_1.jpg,,
กรุงเทพมหานคร,5,ห้วยขวาง,อาคารและเต็นท์บริเวณสำนักงานเขตห้วยขวาง แขวงห้วยขวาง,32419,65,0,130,,,,,,,,
กรุงเทพมหานคร,6,พญาไท,อาคารลานอเนกประสงค์ กรมประชาสัมพันธ์ แขวงพญาไท,18455,37,0,74,,,,,,กรุงเทพ_พญาไท_1.jpg,,https://www.facebook.com/reel/1336714638223909
กรุงเทพมหานคร,6,ดินแดง,อาคารกีฬาเวสน์ 1 และ อาคารกีฬาเวสน์ 2 ศูนย์เยาวชนกรุงเทพมหานคร (ไทย-ญี่ปุ่น),28940,58,0,116,,,,,,,,
กรุงเทพมหานคร,7,บางซื่อ,บริเวณสำนักงานเขตบางซื่อ แขวงบางซื่อ,26484,53,0,106,,,,,,กรุงเทพ_บางซื่อ_1.jpg,กรุงเทพ_บางซื่อ_1.jpg,
กรุงเทพมหานคร,8,หลักสี่,บริเวณสำนักงานเขตหลักสี่ แขวงทุ่งสองห้อง,25721,51,0,102,,,,,,กรุงเทพ_หลักสี่_1.jpg,,
กรุงเทพมหานคร,9,จตุจักร,บริเวณมหาวิทยาลัยราชภัฏจันทรเกษม แขวงจันทรเกษม,51719,103,0,206,,,,,,กรุงเทพ_จตุจักร_1.jpg,,
กรุงเทพมหานคร,10,ดอนเมือง,บริเวณลานจอดรถ สำนักงานเขตดอนเมือง แขวงดอนเมือง,16851,34,0,68,,,,,,กรุงเทพ_ดอนเมือง_1.jpg,,
กรุงเทพมหานคร,11,สายไหม,บริเวณลานจอดรถวัดหนองใหญ่ แขวงสายไหม,13589,27,0,54,,,,,,กรุงเทพ_สายไหม_1.jpg,,
กรุงเทพมหานคร,12,บางเขน,เต็นท์บริเวณลานจอดรถวัดศิริพงษ์ธรรมนิมิต แขวงท่าแร้ง,19839,40,0,80,,,,,,กรุงเทพ_บางเขน_1.jpg,กรุงเทพ_บางเขน_1.jpg,
กรุงเทพมหานคร,13,ลาดพร้าว,เต็นท์บริเวณโรงเรียนสตรีวิทยา 2 แขวงลาดพร้าว,15640,31,0,62,,,,,,กรุงเทพ_ลาดพร้าว_1.jpg,,
